Loan Amount ($),term,Interest Rate (%),Risk of Default (%),Expected Return (%),Expected Recovery (%),Risk Cluster,Amount Invested ($)
1600.0,0,6.0,3.02,13.22,12.06,0,480.0
25000.0,1,6.0,3.02,13.98,13.06,4,7500.0
2500.0,0,6.0,3.02,12.91,13.29,0,750.0
35000.0,1,6.0,5.08,15.81,15.49,3,10000.0
16000.0,1,6.0,3.02,13.99,15.39,1,4800.0
30000.0,1,6.0,3.02,14.85,12.54,4,9000.0
7000.0,0,6.0,3.02,14.54,12.37,0,2100.0
35000.0,1,6.0,5.08,15.85,14.25,3,10000.0
18000.0,1,6.0,5.08,14.72,15.95,1,3966.0
9600.0,0,6.0,3.02,13.99,11.3,2,2880.0
19425.0,1,6.0,3.02,14.73,14.96,1,5827.0
18000.0,1,6.0,3.02,14.43,16.83,1,5400.0
25000.0,1,6.0,3.02,12.7,18.34,4,7500.0
10075.0,1,6.0,3.02,14.78,14.72,2,3022.0
29850.0,1,6.0,5.08,15.43,14.2,4,8955.0
28000.0,1,6.0,3.02,12.8,14.11,4,8400.0
7200.0,0,6.0,3.02,12.75,12.48,0,2160.0
24200.0,1,6.0,3.02,14.37,14.93,4,7260.0
